Date,PX_LAST,Change,% Change,PX_OPEN,Change,% Change,PX_HIGH,Change,% Change,PX_LOW,Change,% Change
2010/1/28,1084.53,,,1096.93,,,1100.22,,,1078.46,,
2010/1/27,1097.5,,,1091.94,,,1099.51,,,1083.11,,
2010/1/26,1092.17,,,1095.8,,,1103.69,,,1089.86,,
2010/1/25,1096.79,,,1092.4,,,1102.97,,,1092.4,,
2010/1/22,1091.76,,,1115.49,,,1115.49,,,1090.18,,
2010/1/21,1116.48,,,1138.68,,,1141.58,,,1114.84,,
2010/1/20,1138.04,,,1147.95,,,1147.95,,,1129.25,,
2010/1/19,1150.23,,,1136.03,,,1150.45,,,1135.77,,
2010/1/15,1136.03,,,1147.72,,,1147.77,,,1131.39,,
2010/1/14,1148.46,,,1145.68,,,1150.41,,,1143.8,,
2010/1/13,1145.68,,,1137.31,,,1148.4,,,1133.18,,
2010/1/12,1136.22,,,1143.81,,,1143.81,,,1131.77,,
2010/1/11,1146.98,,,1145.96,,,1149.74,,,1142.02,,
2010/1/8,1144.98,,,1140.52,,,1145.39,,,1136.22,,
2010/1/7,1141.69,,,1136.27,,,1142.46,,,1131.32,,
2010/1/6,1137.14,,,1135.71,,,1139.19,,,1133.95,,
2010/1/5,1136.52,,,1132.66,,,1136.63,,,1129.66,,
2010/1/4,1132.98,,,1116.56,,,1133.87,,,1116.56,,
2009/12/31,1115.1,,,1126.6,,,1127.64,,,1114.81,,
2009/12/30,1126.42,,,1125.53,,,1126.42,,,1121.94,,
2009/12/29,1126.2,,,1128.55,,,1130.38,,,1126.08,,
2009/12/28,1127.78,,,1127.53,,,1130.38,,,1123.51,,
2009/12/24,1126.48,,,1121.08,,,1126.48,,,1121.08,,
2009/12/23,1120.59,,,1118.84,,,1121.58,,,1116,,
2009/12/22,1118.02,,,1114.51,,,1120.27,,,1114.51,,
2009/12/21,1114.05,,,1105.31,,,1117.68,,,1105.31,,
2009/12/18,1102.47,,,1097.86,,,1103.74,,,1093.88,,
2009/12/17,1096.08,,,1106.36,,,1106.36,,,1095.88,,
2009/12/16,1109.18,,,1108.61,,,1116.21,,,1107.96,,
2009/12/15,1107.93,,,1114.11,,,1114.11,,,1105.35,,
2009/12/14,1114.11,,,1107.84,,,1114.76,,,1107.84,,
2009/12/11,1106.41,,,1103.96,,,1108.5,,,1101.34,,
2009/12/10,1102.35,,,1098.69,,,1106.25,,,1098.69,,
2009/12/9,1095.95,,,1091.07,,,1097.04,,,1085.89,,
2009/12/8,1091.94,,,1103.04,,,1103.04,,,1088.61,,
2009/12/7,1103.25,,,1105.52,,,1110.72,,,1100.83,,
